,ragamTB,B
511,niru,nyiru
512,niur,nyiur
513,nomer,nomor
515,nurmala,nirmala
517,menyampang,senyampang
519,rangda,randa
520,rangkuh,rengkuh
521,rangsel,ransel
522,rangsuk,rasuk
524,ranju,ranjau
527,ratas,retas
528,rayun,rayu
529,rebong,rebung
530,redang,radang
531,rejam,rajam
532,rejeki,rezeki
533,rekaat,rakaat
534,repah,rapah
535,repak,repas
546,rintak,rentak
547,risalat,risalah
548,risih,risi
551,rituil,ritual
552,rizeki,rezeki
553,robah,ubah
554,rokhani,rohani
560,ruh,roh
561,ruhani,rohani
562,rukiat,rukiah
563,rukyah,rukyat
564,Rumawi,Romawi
569,runtak,ronta
572,ruruh,luruh
573,ruyak,royak
574,saadat,saadah
576,safaat,syafaat
578,sago,sagu
581,sahadat,syahadat
582,sahbandar,syahbandar
584,sahwat,syahwat
588,sakaratulmaut,sakratulmaut
591,saklar,sakelar
592,salap,salep
593,salawat,selawat
594,salih,saleh
595,salwat,selawat
598,sampurna,sempurna
600,samudera,samudra
601,sangkayan,sengkayan
602,sangkela,sangkala
603,sangking,saking
604,Sanskrit,Sanskerta
607,sariawan,seriawan
613,satria,kesatria
615,sayarah,siarah
618,sedekala,sediakala
619,sederiah,sadariah
624,seksama,saksama
628,selembada,selempada
629,selembubu,halimbubu
631,selimbu,selibu
632,selindit,serindit
633,selodang,seludang
634,selosoh,selusuh
635,semakin,makin
636,semalakama,malakama
644,senjak,sejak
645,sentausa,sentosa
646,senteri,santri
647,sentiabu,setiabu
648,sentiasa,senantiasa
652,sepanduk,spanduk
655,sepion,spion
656,sepiritus,spiritus
658,sepura,spora
659,serabai,serabi
660,serangguh,seranggung
661,serapa,serapah
666,serok,seruk
667,serual,seluar
672,setambul,stambul
674,seteker,steker
675,seterum,setrum
676,seterup,setrup
677,setiwal,setiwel
678,setoples,stoples
682,sidaguri,seleguri
683,sinandung,senandung
684,singkeh,singkek
685,sipesan,sepesan
686,sirup,sirop
687,siwar,sewar
688,solawat,selawat
689,soldadu,serdadu
690,sompak,sompok
691,sompeng,sompek
692,sondol,sundul
693,soprano,sopran
694,sorga,surga
695,sorgawi,surgawi
696,sotor,sotoh
697,spakbor,sepatbor
698,srempet,serempet
699,sualak,solak
704,sujadah,sajadah
706,sukduf,sekedup
707,sukur,syukur
712,sumangat,semangat
713,sumarak,semarak
714,sundik,sondek
716,sungsum,sumsum
717,sunnah,sunah
724,syaikh,syekh
725,syaitan,setan
728,syapaat,syafaat
729,syarbat,serbat
730,syarekat,syarikat
731,syariah,syariat
732,syorga,surga
736,taawud,taawuz
737,taftah,tafeta
738,tahadi,tadi
739,tahta,takhta
742,tanjidur,tanjidor
743,tapi,tetapi
751,taubat,tobat
754,tauladan,teladan
756,taup,taut
757,tawarikh,tarikh
758,tazir,takzir
761,tedarus,tadarus
762,tegor,tegur
764,tekebur,takabur
765,tekup,tekap
770,telenan,talenan
771,telimpung,telempong
772,telingkuh,telingkah
773,tertelingkung,lingkung
774,telipuk,telepok
775,telisik,selisik
776,telor,telur
777,telukup,telungkup
779,temahak,temaah
780,temasya,tamasya
781,tembera,tambera
782,tembiring,tembereng
784,tembusu,tembesu
785,tempalak,tempelak
787,tempuras,temperas
789,tenggiring,tenggiri
792,tengkok,tengkuk
793,tengkolak,tengkulak
794,tengkurup,tengkurap
797,tentram,tenteram
798,tepekur,tafakur
799,terajang,terjang
802,terlentang,telentang
803,terobong,cerobong
804,terongko,terungku
805,teruna,taruna
806,tetamu,tamu
810,tijak,pijak
811,tiku,tikung
816,tindis,tindih
817,tinggir,tengger
818,tingkarah,tengkarah
819,tipak,tepak
820,titih,petitih
821,toblos,coblos
822,tofan,topan
823,tolerir,toleransi
824,tombru,tombro
825,tompang,tumpang
826,tongkong,tongkol
828,towaf,tawaf
831,tragik,tragis
834,trampil,terampil
836,trenggiling,tenggiling
837,tribulan,triwulan
839,tropi,trofi
844,tulung,tolong
845,tumbak,tombak
847,tumpes,tumpas
850,tungkik,tukik
851,tungu,tungau
852,tunjul,tonjol
853,tupang,topang
855,udur,uzur
866,ustad,ustaz
867,utan,hutan
868,uyung,huyung
869,vulkanisir,vulkanisasi
874,wasilat,wasilah
875,waton,watan
876,widara,bidara
878,wilayat,wilayah
880,yeyunum,jejunum
885,zohor,zuhur
